Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id,spotify:track:Spotify - id
"Jee Karda (From ""Badlapur)",Divya Kumar,Badlapur (Original Motion Picture Soundtrack),Favorite Songs,Favorite,GBSGZ1400274,0soN1GwE6Zf2Z78lrXb3rv,spotify:track:0soN1GwE6Zf2Z78lrXb3rv
"Judaai (From ""Badlapur)",Rekha Bhardwaj,Badlapur (Original Motion Picture Soundtrack),Favorite Songs,Favorite,GBSGZ1500294,5K5kYg6D3rOks7NyLpziTU,spotify:track:5K5kYg6D3rOks7NyLpziTU
Judaai,Sachin-Jigar,Badlapur (Original Motion Picture Soundtrack),Favorite Songs,Favorite,GBSGZ1500294,2MsGTWvf7dcjKbI0WTq6Pz,spotify:track:2MsGTWvf7dcjKbI0WTq6Pz
Chaska,Pritam,Badmaash Company,Favorite Songs,Favorite,INY091000003,4NXCb9SiScRgMqlUnPwdKE,spotify:track:4NXCb9SiScRgMqlUnPwdKE
Humsafar,Akhil Sachdeva,Badrinath Ki Dulhania,Favorite Songs,Favorite,INS181700239,6TFESXMfJJWwccviaxGAMa,spotify:track:6TFESXMfJJWwccviaxGAMa
Bhar Do Jholi Meri,Pritam,Bajrangi Bhaijaan,Favorite Songs,Favorite,INS181500990,52qnHAlqWpo3kgEteAPjRf,spotify:track:52qnHAlqWpo3kgEteAPjRf
Labb Par Aaye,Shankar-Ehsaan-Loy,Bandish Bandits (Original Series Soundtrack),Favorite Songs,Favorite,INS172002551,1H31HxfIHETvrQ02nWpsLO,spotify:track:1H31HxfIHETvrQ02nWpsLO
Garaj Garaj,Shankar-Ehsaan-Loy,Bandish Bandits (Original Series Soundtrack),Favorite Songs,Favorite,INS172002556,3StBtW3cANtA6ZGwIzT8z2,spotify:track:3StBtW3cANtA6ZGwIzT8z2
Sajan Bin,Shankar-Ehsaan-Loy,Bandish Bandits (Original Series Soundtrack),Favorite Songs,Favorite,INS172002548,1lUskB61Guv9LkWSV9ycWe,spotify:track:1lUskB61Guv9LkWSV9ycWe
Chedkhaniyaan,Shankar-Ehsaan-Loy,Bandish Bandits (Original Series Soundtrack),Favorite Songs,Favorite,INS172002549,30PPEJ1pEhtVnrgVNK5MEw,spotify:track:30PPEJ1pEhtVnrgVNK5MEw
Rasputin - Club Mix,Boney M.,Barbra Streisand - Boney M. goes Club,Favorite Songs,Favorite,DED161000021,1zVMJGPMWKmD4cjTTyf68y,spotify:track:1zVMJGPMWKmD4cjTTyf68y
Janabe Ali - Remix,Shaan,Bardaasht,Favorite Songs,Favorite,INH100628197,6GYlgEq3ol8Emz0uzapb7L,spotify:track:6GYlgEq3ol8Emz0uzapb7L
Kyon,Pritam,Barfi! (Original Motion Picture Soundtrack),Favorite Songs,Favorite,INU151200113,1sYC1fG7s4p0pTykrJqmgW,spotify:track:1sYC1fG7s4p0pTykrJqmgW
